date,nominal_effective_exchange_rate,effective_federal_funds_rate,cpi_index,djia_adj_close,gold_price,target
1985-02-01,171.4913043478261,8.35,105.3,1286.77002,302.8,299.1
1985-03-01,176.187,8.5,105.8,1284.01001,299.1,303.9
1985-04-01,177.0404761904762,8.58,106.1,1266.780029,303.9,325.3
1985-05-01,170.94954545454547,8.27,106.5,1258.060059,325.3,316.4
1985-06-01,171.39391304347828,7.97,107.3,1315.410034,316.4,316.5
1985-07-01,169.6925,7.53,107.9,1335.459961,316.5,317.2
1985-08-01,164.65347826086958,7.88,108.3,1347.449951,317.2,329.8
1985-09-01,162.4781818181818,7.9,108.7,1334.01001,329.8,323.4
1985-10-01,163.87285714285713,7.92,108.9,1328.630005,323.4,325.8
1985-11-01,156.12130434782608,7.99,109.1,1374.310059,325.8,325.3
1985-12-01,153.44428571428574,8.05,109.3,1472.130005,325.3,321.9
1986-01-01,152.6377272727273,8.27,109.6,1546.670044,321.9,345.4
1986-02-01,151.53608695652176,8.14,109.9,1570.98999,345.4,338.9
1986-03-01,146.60150000000004,7.86,109.8,1709.060059,338.9,345.7
1986-04-01,143.95761904761906,7.48,109.9,1818.609985,345.7,340.4
1986-05-01,142.80136363636367,6.99,110.2,1783.97998,340.4,342.4
1986-06-01,139.95363636363638,6.85,110.4,1876.709961,342.4,342.7
1986-07-01,140.78095238095233,6.92,111.2,1892.719971,342.7,348.3
1986-08-01,137.52391304347825,6.56,111.3,1775.310059,348.3,376.6
1986-09-01,135.42142857142858,6.17,111.6,1898.339966,376.6,417.7
1986-10-01,135.21727272727273,5.89,112.0,1767.5799559999998,417.7,423.5
1986-11-01,135.2613043478261,5.85,111.8,1877.709961,423.5,397.6
1986-12-01,137.05700000000002,6.04,111.4,1914.22998,397.6,390.9
1987-01-01,135.93782608695653,6.91,111.5,1895.949951,390.9,408.3
1987-02-01,131.04772727272726,6.43,112.0,2158.040039,408.3,401.1
1987-03-01,129.24099999999996,6.1,112.4,2223.98999,401.1,408.9
1987-04-01,127.89636363636365,6.13,112.8,2304.689941,408.9,438.4
1987-05-01,124.99545454545455,6.37,113.2,2286.360107,438.4,460.2
1987-06-01,123.84000000000002,6.85,113.6,2291.570068,460.2,449.6
1987-07-01,125.10909090909094,6.73,114.3,2418.530029,449.6,450.5
1987-08-01,126.69,6.58,114.7,2572.070068,450.5,461.2
1987-09-01,126.21619047619049,6.73,115.4,2662.949951,461.2,460.4
1987-10-01,123.79545454545452,7.22,115.6,2596.280029,460.4,465.4
1987-11-01,123.39409090909089,7.29,115.5,1993.530029,465.4,467.6
1987-12-01,118.92285714285715,6.69,115.5,1833.550049,467.6,486.2
1988-01-01,115.62695652173916,6.77,115.6,1938.8299559999998,486.2,476.6
1988-02-01,115.27619047619044,6.83,116.2,1958.219971,476.6,442.1
1988-03-01,116.39285714285714,6.58,116.6,2071.6201170000004,442.1,443.6
1988-04-01,114.5795652173913,6.58,117.0,1988.060059,443.6,451.6
1988-05-01,113.26714285714284,6.87,117.3,2032.3299559999998,451.6,451.1
1988-06-01,113.52181818181818,7.09,117.7,2031.119995,451.1,451.3
1988-07-01,115.18363636363638,7.51,118.6,2141.709961,451.3,437.6
1988-08-01,118.26904761904763,7.75,119.1,2128.72998,437.6,431.3
1988-09-01,119.44434782608695,8.01,119.5,2031.6500239999998,431.3,413.5
1988-10-01,119.65181818181817,8.19,119.9,2112.909912,413.5,406.8
1988-11-01,116.63857142857142,8.3,119.9,2148.649902,406.8,420.2
1988-12-01,113.52227272727274,8.35,119.9,2114.51001,420.2,419.1
1989-01-01,113.04045454545457,8.76,120.2,2168.570068,419.1,404.0
1989-02-01,115.14454545454545,9.12,120.7,2342.320068,404.0,387.5
1989-03-01,115.62,9.36,121.1,2258.389893,387.5,390.2
